server_family,repository,commit_sha,commit_date,evidence_type,tool_or_surface,verified_summary,reconstruction_status
Playwright MCP,microsoft/playwright,d73823e63502a6386a408a25d74ebcbeb4a58f1c,2026-04-29,upstream merge commit,browser_run_code_unsafe,Renames browser_run_code and explicitly discloses RCE-equivalent arbitrary-JavaScript execution,primary mutation source verified
Playwright MCP,microsoft/playwright,2a7febdea2fc89e447d706fc34f3ff1b2ed0800a,2026-06-25,upstream merge commit,browser_take_screenshot,Adds scale={css|device} with default css and binds execution to params.scale,primary mutation source verified
Playwright MCP,microsoft/playwright-mcp,f871c0ee00a9d253325b7c9d734597bb46758576,2026-06-29,downstream roll commit,browser_take_screenshot,Regenerates distributed README with screenshot scale option,secondary downstream synchronization verified
Playwright MCP,microsoft/playwright-mcp,36ec986b8b1fc6b4d11f2b6971147755e1b0bc84,2026-06-29,release commit,browser_take_screenshot,v0.0.77 release documents screenshot scale option,secondary release evidence verified
Playwright MCP,microsoft/playwright,f3114b3e9f1aea9f0c123551ebf67ded08dddca2,2026-08-05,upstream merge commit,browser_take_screenshot,Expands screenshot type to WebP and changes type default/optional semantics with filename inference,primary mutation source verified
Playwright MCP,microsoft/playwright-mcp,4ed35bf8713337dfce02f073edd3bd0c7ebf310f,2026-08-05,downstream roll commit,browser_take_screenshot,Rolls upstream WebP-capable Tool schema into playwright-mcp README,secondary downstream synchronization verified
Playwright MCP,microsoft/playwright-mcp,4c5077651542f68525a0b51e97bab2a32abc9290,2026-08-05,release commit,browser_take_screenshot,v0.0.79 release documents WebP type option and inferred format behavior,secondary release evidence verified
Shortcut,useshortcut/mcp-server-shortcut,c0bf3cda72e4db3fba8f4b007644f9e907951574,2026-01-20,maintainer commit,documents-create,Changes client-visible authoring guidance from HTML to Markdown and adds content_format=markdown,primary mutation source verified
Shortcut,useshortcut/mcp-server-shortcut,22a76c903e37c77f7d9892bb4d72896765b70eaa,2026-02-09,documentation commit,documents-create,Changes README wording from HTML content to Markdown content,secondary documentation synchronization only
Shortcut,useshortcut/mcp-server-shortcut,8d60dfe1c007dd26f5247186332c18b5a799253d,2026-02-09,merge commit,documents-create,Merges README documentation synchronization,secondary documentation synchronization only
