cluster_id,server_family,cluster_date,cluster_type,anchor_repository,anchor_boundary_or_release,included_transition_ids,event_count,release_or_tag,evidence_status,rationale
MC01,CXWorld/CapFrameX,2026-04-26,source-commit,CXWorld/CapFrameX,10847c37903113bbddd66246236dba4733f1473d,"CFX001-CFX013",13,,source-verified,"Initial MCP Tool rollout at one immutable maintainer commit."
MC02,CXWorld/CapFrameX,2026-05-06,source-commit,CXWorld/CapFrameX,d5f9e3eddf70d65ca278a1707af750ce72d6bda2,"CFX014-CFX015",2,,source-verified,"Sensor/overlay Tool additions at one immutable maintainer commit."
MC03,CXWorld/CapFrameX,2026-05-09,source-commit,CXWorld/CapFrameX,5a1aead8f33400297600c01e27580915e18306d4,"CFX016-CFX040",25,,source-verified,"Capture/config/analysis/sensor Tool expansion at one immutable maintainer commit."
MC04,CXWorld/CapFrameX,2026-05-14,source-commit,CXWorld/CapFrameX,3bc6acae92a84db7f50542665226e1df3c6451d7,"CFX041-CFX042",2,,source-verified,"PMD Tool additions at one immutable maintainer commit."
MC05,Shortcut,2025-03-10,contiguous-initial-rollout,useshortcut/mcp-server-shortcut,"78607f0b67814873e03da1772271851fd0466baf..02599fbde607890315031debbe04c1f9901589df","SC001-SC017",17,,source-verified-grouping,"The initial 10-Tool commit and the same-day follow-up 7-Tool expansion are on one ancestry path and form the retained initial Tool-surface rollout."
MC06,Shortcut,2026-01-20,source-commit,useshortcut/mcp-server-shortcut,c0bf3cda72e4db3fba8f4b007644f9e907951574,P04,1,,source-verified,"documents-create model-visible guidance changes from HTML to Markdown at the source boundary."
MC07,Terraform MCP,2026-01-13,source-commit,hashicorp/terraform-mcp-server,427d024993e51de563412b85cde6560768b81bbb,TFM001,1,,source-verified,"attach_policy_set_to_workspaces introduction."
MC08,Terraform MCP,2026-01-14,source-commit,hashicorp/terraform-mcp-server,0ab0727c657b4415c4020abc043c7166de4b33cb,TFM002,1,,source-verified,"get_token_permissions introduction."
MC09,Terraform MCP,2026-01-15,same-day-changelog-rollup,hashicorp/terraform-mcp-server,"fd95142b381136b458397b6c9f22d179abb2c0cd;348662e923c9761aa319c61992ecb32d5f55328d","TFM003-TFM005",3,,source-verified-grouping,"Two same-day maintainer Tool PRs are retained as one change cluster because their additions are accumulated in the same unreleased CHANGELOG development surface."
MC10,Terraform MCP,2026-04-01,source-commit,hashicorp/terraform-mcp-server,5cfd8d65e92c099b6793e345607c94d1c45ecd97,"TFM006-TFM010",5,,source-verified,"Five plan/apply Tool introductions at one maintainer boundary."
MC11,Terraform MCP,2026-05-07,source-commit,hashicorp/terraform-mcp-server,8d60e3c8614682dba1acc2fb1f326fd4e7211f09,TFM011,1,,source-verified,"get_sentinel_mock introduction."
MC12,Terraform MCP,2026-07-08,source-commit,hashicorp/terraform-mcp-server,e0868c6358c53840ae69287ab442f0dec0e2d8bf,TFM012,1,,source-verified,"force_unlock_workspace introduction."
MC13,Playwright MCP,2026-02-25,upstream-source-commit,microsoft/playwright,8d4588c85ce362f9bf43108e5cd0ee5eb7e3f9a9,PLW001,1,,source-verified,"browser_show_tracing introduction."
MC14,Playwright MCP,2026-03-02,upstream-source-commit,microsoft/playwright,6fd3cb4c45cbc4fc4ef2fde36624f91bfc3abd81,PLW002,1,,source-verified,"browser_network_state_set introduction."
MC15,Playwright MCP,2026-04-22,upstream-source-commit,microsoft/playwright,f9f8fff0e09276062e3ace017b4c01d145de63e8,PLW003,1,,source-verified,"browser_drop introduction."
MC16,Playwright MCP,2026-04-30,downstream-release-exposure,microsoft/playwright-mcp,5ae9c9e5a55659dc59879bc8f0dff0de2820d8e,"P01;PLW004",2,v0.0.72,release-listing-verified,"The distributed v0.0.72 Tool listing simultaneously exposes browser_run_code_unsafe and browser_annotate; v0.0.71 contains browser_run_code and lacks browser_annotate."
MC17,Playwright MCP,2026-05-19,upstream-source-commit,microsoft/playwright,20e51e78570f3a09e16888b20eb5aea10e725d36,"PLW005-PLW006",2,,source-verified,"browser_video_show_actions and browser_video_hide_actions are introduced together."
MC18,Playwright MCP,2026-06-29,downstream-release-exposure,microsoft/playwright-mcp,36ec986b8b1fc6b4d11f2b6971147755e1b0bc84,P02,1,v0.0.77,release-listing-verified,"v0.0.77 generated Tool listing exposes scale as a required string parameter with css/device semantics and default css."
MC19,Playwright MCP,2026-07-09,downstream-release-exposure,microsoft/playwright-mcp,7d36e7c5062e9d7a6c85fbabe9318e65539ae1af,PLW007,1,v0.0.78,release-listing-verified,"v0.0.78 contains the browser_find Tool introduced upstream on 2026-07-02."
MC20,Playwright MCP,2026-08-05,downstream-release-exposure,microsoft/playwright-mcp,4c5077651542f68525a0b51e97bab2a32abc9290,P03,1,v0.0.79,release-listing-verified,"v0.0.79 generated Tool listing adds WebP and changes type from required to optional while scale remains required."
