unit_id,mutation_id,cluster_id,tool,path,operation,a_rule,a_level,a_confidence,b_rule,b_level,b_confidence,final_rule,final_level,resolution,final_rationale,pattern_group
H001,CFXM01,SCFX01,cfx_get_metrics,/description,REPLACE,R2a,L2,3,R2a,L2,4,R2a,L2,PRE_ADJUDICATION_AGREEMENT,"A: Animation Error metrics added to the listed set. Bounded expansion of returned metrics for an analysis tool. | B: Animation Error metrics newly listed. Capability of returned metrics expands in a bounded, non-security way.",PATTERN_CFXM01_/description
H002,CFXM02,SCFX02,cfx_get_config,/description,REPLACE,R1,L1,4,R1,L1,4,R1,L1,PRE_ADJUDICATION_AGREEMENT,A: Points user to sibling OSD tool for complete snapshot. Benign cross-tool guidance. | B: Cross-reference to specialised OSD getter added. Benign guidance.,PATTERN_CFXM02_/description
H003,CFXM03,SCFX02,cfx_set_config,/description,REPLACE,R1,L1,4,R1,L1,4,R1,L1,PRE_ADJUDICATION_AGREEMENT,A: Guidance to prefer specialised OSD setter. Benign workflow clarification. | B: Points to cfx_set_osd_options for validated OSD changes. Benign workflow note.,PATTERN_CFXM03_/description
H004,CFXM04,SCFX02,cfx_toggle_overlay_entry,/description,REPLACE,R1,L1,5,R1,L1,5,R1,L1,PRE_ADJUDICATION_AGREEMENT,A: Recommended persistence tool name updated. Pure guidance/wording change. | B: Companion-tool recommendation updated. Pure wording/guidance maintenance.,PATTERN_CFXM04_/description
H005,CFXM05,SCFX02,cfx_get_overlay_entries,/description,REPLACE,R2a,L2,3,R2a,L2,4,R2a,L2,PRE_ADJUDICATION_AGREEMENT,"A: Description lists additional returned fields (formatted values, UI capabilities, fonts…). Informational expansion of a read-only tool; still bounded. | B: Returned field list expanded (formatted values, UI capabilities, ordering, fonts…). Informational growth of a read tool; still bounded.",PATTERN_CFXM05_/description
H006,CFXM06,SCFX03,cfx_set_osd_options,/inputSchema/properties/hookFreeRefreshRate,ADD,R2a,L2,4,R2a,L2,4,R2a,L2,PRE_ADJUDICATION_AGREEMENT,A: Optional hookFreeRefreshRate parameter with constrained values. Bounded schema addition. | B: Optional constrained integer parameter added. Classic bounded schema evolution.,PATTERN_CFXM06_/inputSchema/properties/hookFreeRefreshRate
H007,CFXM07,SCFX04,cfx_set_osd_options,/inputSchema/properties/overlayPositionHotkey,ADD,R2a,L2,4,R2a,L2,4,R2a,L2,PRE_ADJUDICATION_AGREEMENT,"A: Optional overlayPositionHotkey parameter added. Bounded functional addition, no security boundary change. | B: Optional hotkey string parameter. Bounded schema evolution, no security impact.",PATTERN_CFXM07_/inputSchema/properties/overlayPositionHotkey
H008,CFXM08,SCFX05,cfx_set_osd_options,/inputSchema/properties/hookFreeRefreshRate/description,REPLACE,R2a,L2,4,R2a,L2,4,R2a,L2,PRE_ADJUDICATION_AGREEMENT,"A: Allowed Hz values expanded (60, 120). Ordinary widening of an unconstrained rate parameter; not a security boundary. | B: Allowed refresh rates extended to 60/120. Ordinary widening of a non-security parameter.",PATTERN_CFXM08_/inputSchema/properties/hookFreeRefreshRate/description
H009,TFMX01,STFM01,get_latest_module_version,/annotations/destructiveHint,ADD,R1,L1,4,R1,L1,4,R1,L1,PRE_ADJUDICATION_AGREEMENT,A: destructiveHint=false. Safety hint. | B: destructiveHint=false. Safety annotation.,PATTERN_TFM_DESTRUCTIVE_HINT_ABSENT_TO_FALSE
H010,TFMX02,STFM01,get_latest_provider_version,/annotations/destructiveHint,ADD,R1,L1,4,R1,L1,4,R1,L1,PRE_ADJUDICATION_AGREEMENT,A: destructiveHint=false. Safety hint only. | B: destructiveHint=false. Safety hint.,PATTERN_TFM_DESTRUCTIVE_HINT_ABSENT_TO_FALSE
